"","Type","Date","Part of a policing operation","Policing operation","Gender","Age range","Self-defined ethnicity","Officer-defined ethnicity","Legislation","Object of search","Outcome","Outcome linked to object of search","Removal of more than just outer clothing","label","name","code"
"327","Person search",2019-06-21 18:00:00,TRUE,NA,NA,"18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest",TRUE,FALSE,"E08000003E02001050E01005205","Manchester 006B","E01005205"
"328","Person search",2019-06-21 18:26:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"329","Person search",2019-06-21 18:29:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033667","Manchester 054E","E01033667"
"330","Person search",2019-06-21 19:30:00,TRUE,NA,"Female","25-34","Black/African/Caribbean/Black British - Any other Black/African/Caribbean background","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning",TRUE,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"331","Person search",2019-06-21 19:30:00,TRUE,NA,"Male","18-24","Black/African/Caribbean/Black British - African","Black","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006912E01033653","Manchester 055B","E01033653"
"332","Person search",2019-06-21 19:34:00,TRUE,NA,"Male","10-17","Black/African/Caribbean/Black British - Caribbean","Black","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal",NA,FALSE,"E08000003E02001053E01005202","Manchester 009A","E01005202"
"333","Person search",2019-06-21 19:37:00,FALSE,NA,"Male","10-17","Black/African/Caribbean/Black British - African","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Arrest",FALSE,FALSE,"E08000003E02001053E01005202","Manchester 009A","E01005202"
"334","Person search",2019-06-21 20:13:00,TRUE,NA,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"335","Person and Vehicle search",2019-06-21 20:19:00,FALSE,NA,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02001061E01005190","Manchester 017E","E01005190"
"336","Person search",2019-06-21 20:38:00,TRUE,NA,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal",NA,FALSE,"E08000003E02006902E01033658","Manchester 054C","E01033658"
"337","Person search",2019-06-22 02:20:00,FALSE,NA,"Male","18-24","Asian/Asian British - Pakistani","Asian","Police and Criminal Evidence Act 1984 (section 1)","Firearms","A no further action disposal",NA,FALSE,"E08000003E02006915E01005142","Manchester 058A","E01005142"
"338","Person search",2019-06-22 02:21:00,FALSE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal",NA,FALSE,"E08000003E02001081E01005157","Manchester 037D","E01005157"
"339","Person search",2019-06-22 02:24:00,FALSE,NA,NA,NA,"Mixed/Multiple ethnic groups - White and Asian","Asian","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal",NA,FALSE,"E08000003E02001081E01005157","Manchester 037D","E01005157"
"340","Person search",2019-06-22 02:25:00,FALSE,NA,"Male","18-24","Asian/Asian British - Indian","Asian","Firearms Act 1968 (section 47)","Firearms","A no further action disposal",NA,FALSE,"E08000003E02006915E01005142","Manchester 058A","E01005142"
"341","Person search",2019-06-22 02:26:00,FALSE,NA,"Male",NA,"White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal",NA,FALSE,"E08000003E02001081E01005157","Manchester 037D","E01005157"
"342","Person search",2019-06-22 02:30:00,FALSE,NA,"Male","18-24","Asian/Asian British - Pakistani","Asian","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","Khat or Cannabis warning",FALSE,FALSE,"E08000003E02001064E01005239","Manchester 020E","E01005239"
"343","Person search",2019-06-22 02:40:00,FALSE,NA,"Female","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal",NA,FALSE,"E08000003E02006917E01033681","Manchester 060B","E01033681"
